internal-ID,name,GND-Nummer,GND-Link,external-ID,comment
P0041,"Weitzmann, Carl Friedrich",119189275,https://d-nb.info/gnd/119189275,,
P0042,Dr. Werner Brendel (Firma),1065795696,https://d-nb.info/gnd/1065795696,,
P0043,"Schumann, Robert",118611666,https://d-nb.info/gnd/118611666,,
P0044,"Berlioz, Hector",118509675,https://d-nb.info/gnd/118509675,,
P0045,"Wagner, Richard",118594117,https://d-nb.info/gnd/118594117,,
P0046,"Liszt, Franz",118573527,https://d-nb.info/gnd/118573527,,
P0047,"Bagge, Selmar",116039191,https://d-nb.info/gnd/116039191,,
P0048,"Kretschmann, Karl Gottfried",134020561,https://d-nb.info/gnd/134020561,,
P0049,"Gluck, Christoph Willibald",118539841,https://d-nb.info/gnd/118539841,,
P0050,"Weber, Carl Maria von",118629662,https://d-nb.info/gnd/118629662,,
P0051,"Marpurg, Friedrich Wilhelm",118921088,https://d-nb.info/gnd/118921088,,
P0052,"Monteverdi, Claudio",118583700,https://d-nb.info/gnd/118583700,,
P0053,"Fétis, François-Joseph",11949924X,https://d-nb.info/gnd/11949924X,,
P0054,J. S. Bach,4226038-3,https://d-nb.info/gnd/4226038-3,,
P0055,"Krüger, Eduard",116559810,https://d-nb.info/gnd/116559810,,
P0056,Vischer,1099339081,https://d-nb.info/gnd/1099339081,,"an aesthetician apparently quoted by Helmholtz, according to Thürlings"
P0057,"Euler, Leonhard",118531379,https://d-nb.info/gnd/118531379,,
P0058,"Zamminer, Friedrich",116950714,https://d-nb.info/gnd/116950714,,
P0059,"Ptolemaeus, Claudius",118641786,https://d-nb.info/gnd/118641786,,
P0060,Faesch,1146768168,https://d-nb.info/gnd/1146768168,,
P0061,"Kinkel, Johanna",118562258,https://d-nb.info/gnd/118562258,,
P0062,"Skiadas, Aristoxenos D.",103499350X,https://d-nb.info/gnd/103499350X,,
P0063,"Thimus, Albert von",117341878,https://d-nb.info/gnd/117341878,,
P0064,"Hasenclever, Richard",116511850,https://d-nb.info/gnd/116511850,,
P0065,Aristoteles,1085796744,https://d-nb.info/gnd/1085796744,,
P0066,"Schubring, Gustav",11711703X,https://d-nb.info/gnd/11711703X,,
P0067,"Völkel, Dr. A.",,,,
P0068,"Heraclitus, Ephesius",118549421,https://d-nb.info/gnd/118549421,,
P0069,"Freuler, Heinrich",1016835671,https://d-nb.info/gnd/1016835671,,
P0070,"Chladni, Ernst Florens Friedrich",118520490,https://d-nb.info/gnd/118520490,,
P0071,"Schroeder, Hermann",118823442,https://d-nb.info/gnd/118823442,,
P0072,"Billroth, Theodor",118510916,https://d-nb.info/gnd/118510916,,
P0073,Nithard,189579072,https://d-nb.info/gnd/189579072,,medival composer of dance-songs
P0074,"Riemann, Ludwig",172346401,https://d-nb.info/gnd/172346401,,not Hugo Riemann
P0075,Plato,118594893,https://d-nb.info/gnd/118594893,,
P0076,Euclides,4449276-5,https://d-nb.info/gnd/4449276-5,,
P0077,"Hennig, Richard",116716002,https://d-nb.info/gnd/116716002,,
P0078,"Marx, Adolf Bernhard",119065290,https://d-nb.info/gnd/119065290,,
P0079,"Strauss, Johann",117312096,https://d-nb.info/gnd/117312096,,
P0080,"Richter, Ernst Friedrich",116510927,https://d-nb.info/gnd/116510927,,
P0081,"Ziehn, Bernhard",116988282,https://d-nb.info/gnd/116988282,,
P0082,"Grädener, Hermann",116808268,https://d-nb.info/gnd/116808268,,
P0083,"Mayrberger, Karl",1020425431,https://d-nb.info/gnd/1020425431,,
